ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
190.146.118.41;8080;Transparent;false;"Colombia";2418;95;"Nov 25 07:18:58"
189.90.244.6;8080;Transparent;false;"Brazil";1005;89;"Nov 25 07:18:55"
190.144.114.43;8080;Transparent;false;"Colombia";722;90;"Nov 25 07:18:55"
189.90.127.44;8080;Transparent;false;"Brazil";782;91;"Nov 25 07:18:54"
180.249.58.192;8080;Transparent;false;"Indonesia";4379;73;"Nov 25 07:18:51"
180.246.126.158;8080;Transparent;false;"Indonesia";2944;90;"Nov 25 07:18:44"
189.1.26.53;8080;Transparent;false;"Brazil";5513;97;"Nov 25 07:17:59"
117.41.182.188;8080;Transparent;false;"China";9196;78;"Nov 25 07:17:53"
178.18.17.250;8080;Transparent;false;"Netherlands";3460;91;"Nov 25 07:17:42"
177.99.238.111;8080;Transparent;false;"Brazil";800;82;"Nov 25 07:17:21"
110.77.132.60;8080;Transparent;false;"Thailand";1301;50;"Nov 25 07:14:59"
173.213.108.112;8080;Transparent;false;"United States";324;89;"Nov 25 07:14:49"
173.213.108.111;8080;Transparent;false;"United States";317;89;"Nov 25 07:14:48"
110.138.208.50;8080;Transparent;false;"Indonesia";20116;64;"Nov 25 07:13:47"
103.7.248.1;8080;Transparent;false;"Bangladesh";1667;83;"Nov 25 07:12:06"
103.4.165.244;8080;Transparent;false;"Indonesia";13658;96;"Nov 25 07:12:05"
103.10.99.254;8080;Transparent;false;"Indonesia";3408;83;"Nov 25 07:11:51"
89.22.236.172;8080;Anonymous;false;"Russian Federation";14524;85;"Nov 25 07:09:19"
95.170.223.126;8080;Transparent;false;"Iraq";2653;91;"Nov 25 07:07:17"
94.78.107.108;8080;Transparent;false;"Great Britain (UK)";896;85;"Nov 25 07:06:59"
94.153.243.234;8080;Transparent;false;"Ukraine";4474;91;"Nov 25 07:06:27"
61.184.36.51;8080;Transparent;false;"China";1797;98;"Nov 25 07:04:34"
86.123.88.17;8080;Distorting;false;"Romania";14188;66;"Nov 25 07:04:09"
78.93.197.86;8080;Transparent;false;"Saudi Arabia";18716;97;"Nov 25 07:04:09"
86.123.83.208;8080;Distorting;false;"Romania";23413;83;"Nov 25 07:03:55"
78.47.214.240;8080;Transparent;false;"Germany";445;50;"Nov 25 07:03:50"
77.38.171.87;8080;Transparent;false;"Latvia";3146;92;"Nov 25 07:03:42"
61.167.49.188;8080;Transparent;false;"China";2337;93;"Nov 25 07:03:37"
85.15.203.1;8080;Transparent;false;"Latvia";511;95;"Nov 25 07:03:29"
58.19.176.6;8080;Anonymous;false;"China";21900;73;"Nov 25 07:02:42"
84.47.12.167;8080;Transparent;false;"Slovak Republic";6560;95;"Nov 25 07:02:26"
77.223.208.230;8080;Transparent;false;"Poland";505;85;"Nov 25 07:02:17"
72.64.146.136;8080;Transparent;false;"United States";356;90;"Nov 25 07:00:37"
72.64.146.135;8080;Transparent;false;"United States";6067;89;"Nov 25 07:00:37"
50.18.216.151;8080;Transparent;false;"United States";524;93;"Nov 25 06:59:42"
219.95.119.218;8080;Transparent;false;"Malaysia";4023;65;"Nov 25 06:56:45"
41.32.43.243;8080;Transparent;false;"Egypt";10914;91;"Nov 25 06:55:55"
219.234.82.85;8080;Distorting;false;"China";11015;94;"Nov 25 06:54:58"
41.222.14.162;8080;Distorting;false;"Kenya";6178;47;"Nov 25 06:54:54"
219.234.82.77;8080;Distorting;false;"China";5641;95;"Nov 25 06:51:51"
219.159.105.180;8080;Transparent;false;"China";5107;95;"Nov 25 06:46:50"
217.79.189.229;8080;Transparent;false;"Germany";2868;94;"Nov 25 06:46:30"
201.218.63.4;8080;Transparent;false;"Ecuador";1087;98;"Nov 25 06:45:39"
210.101.131.231;8080;Transparent;false;"Korea (South)";1435;94;"Nov 25 06:45:22"
203.223.40.186;8080;Transparent;false;"Cambodia";1894;99;"Nov 25 06:45:01"
203.128.82.164;8080;Transparent;false;"Indonesia";6727;95;"Nov 25 06:44:55"
217.219.175.81;8080;Distorting;false;"Iran";31756;44;"Nov 25 06:44:42"
201.59.167.202;8080;Transparent;false;"Brazil";1289;96;"Nov 25 06:43:56"
217.219.175.74;8080;Distorting;false;"Iran";27254;46;"Nov 25 06:43:25"
200.196.51.130;8080;Transparent;false;"Brazil";5252;90;"Nov 25 06:43:18"
202.4.114.18;8080;Transparent;false;"Bangladesh";1425;80;"Nov 25 06:43:09"
200.161.103.213;8080;Transparent;false;"Brazil";6708;90;"Nov 25 06:42:39"
200.111.115.172;8080;Transparent;false;"Chile";770;97;"Nov 25 06:42:30"
200.105.237.94;8080;Transparent;false;"Ecuador";5115;82;"Nov 25 06:42:29"
198.27.100.200;8080;Transparent;false;"Canada";358;94;"Nov 25 06:42:08"
198.144.176.54;8080;Transparent;false;"United States";228;98;"Nov 25 06:41:51"
198.100.159.69;8080;Transparent;false;"Canada";217;97;"Nov 25 06:41:48"
201.234.100.189;8080;Transparent;false;"Argentina";3861;95;"Nov 25 06:41:41"
197.220.100.218;8080;Distorting;false;"Kenya";1643;83;"Nov 25 06:41:32"
192.211.49.210;8080;Transparent;false;"United States";238;96;"Nov 25 06:40:40"
190.220.130.14;8080;Distorting;false;"Argentina";10821;85;"Nov 25 06:40:28"
195.200.199.98;8080;Transparent;false;"Poland";2792;72;"Nov 25 06:38:58"
190.203.11.41;8080;Transparent;false;"Venezuela";7991;86;"Nov 25 06:38:44"
190.2.46.241;8080;Transparent;false;"Argentina";928;92;"Nov 25 06:38:35"
193.93.229.150;8080;Transparent;false;"Ukraine";490;98;"Nov 25 06:38:32"
190.142.210.242;8080;Transparent;false;"Venezuela";5287;93;"Nov 25 06:38:31"
180.211.192.189;8080;Transparent;false;"Bangladesh";646;66;"Nov 25 06:38:09"
180.183.139.208;8080;Distorting;false;"Thailand";1083;90;"Nov 25 06:37:51"
177.70.68.130;8080;Transparent;false;"Brazil";914;97;"Nov 25 06:37:45"
177.65.175.245;8080;Transparent;false;"Brazil";959;92;"Nov 25 06:37:39"
